site;date;day;month;year;number;unique.number;sex;spawning;time.h;time.end.h;time;time.end;sunrise;start.time.to.sunrise;sst
Pointe_Venus;25/10/2021;25;10;2021;13;Pointe_Venus13;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;14;Pointe_Venus14;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;15;Pointe_Venus15;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;16;Pointe_Venus16;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;17;Pointe_Venus17;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;18;Pointe_Venus18;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;19;Pointe_Venus19;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;20;Pointe_Venus20;MALE;YES;7.24;NA;7.4;NA;5.3666667;2.0333333;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;21;Pointe_Venus21;MALE;YES;7.34;7.39;7.566666667;7.65;5.3666667;2.199999967;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;22;Pointe_Venus22;MALE;YES;7.34;7.39;7.566666667;7.65;5.3666667;2.199999967;26.9899932932109
Maatea;25/10/2021;25;10;2021;1;Maatea1;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;2;Maatea2;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;3;Maatea3;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;4;Maatea4;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;5;Maatea5;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;6;Maatea6;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;7;Maatea7;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;8;Maatea8;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;9;Maatea9;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Maatea;25/10/2021;25;10;2021;10;Maatea10;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;26.949993294105
Vairao;23/11/2021;23;11;2021;1;Vairao1;MALE;YES;6.48;NA;6.8;NA;5.2;1.6;27.3799932844937
Vairao;23/11/2021;23;11;2021;2;Vairao2;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;3;Vairao3;FEMALE;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;4;Vairao4;FEMALE;YES;7.19;NA;7.316666667;NA;5.2;2.116666667;27.3799932844937
