country;island;site;habitat;depth;latitude;longitude;date;date.us;year;month;season;start.decimal;ToSR.decimal;STrSR;no.start;quality.start;sst
French Polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;04/12/2020;2020.12.04;2020;12;2020-2021;7.1;5.27527777777778;1.82472222222222;FALSE;Exact;28.2299932654947
French Polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;02/04/2021;2021.04.02;2021;4;2020-2021;7.63333333333333;6.10277777777778;1.53055555555556;FALSE;Exact;28.9799932487309
French polynesia;Moorea;Temae;Lagoon;2;-17.4982;-149.75599;05/11/2020;2020.11.05;2020;11;2020-2021;NA;5.30694444444444;NA;TRUE;;27.489993282035
French polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;05/11/2020;2020.11.05;2020;11;2020-2021;NA;5.30694444444444;NA;TRUE;;27.4699932824821
French Polynesia;Raiatea;Pufau;Lagoon;2;-16.762599;-151.492126;05/11/2020;2020.11.05;2020;11;2020-2021;7.03333333333333;5.43527777777778;1.59805555555555;FALSE;Exact;27.509993281588
French Polynesia;Raiatea;Pufau;Lagoon;2;-16.762599;-151.492126;04/12/2020;2020.12.04;2020;12;2020-2021;NA;5.40444444444444;NA;TRUE;;28.3499932628125
French Polynesia;Tahaa;Baie rae;Lagoon;2;-16.620517;-151.432817;04/12/2020;2020.12.04;2020;12;2020-2021;7.16666666666667;5.405;1.76166666666667;FALSE;Exact;28.339993263036
French Polynesia;Bora Bora;Pointe Raititi;Lagoon;2;-16.53283;-151.747537;05/11/2020;2020.11.05;2020;11;2020-2021;7.3;5.45722222222222;1.84277777777778;FALSE;Exact;27.4599932827056
French Polynesia;Bora Bora;Pointe Raititi;Lagoon;2;-16.53283;-151.747537;04/12/2020;2020.12.04;2020;12;2020-2021;7;5.42861111111111;1.57138888888889;FALSE;Exact;28.1799932666123
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;05/11/2020;2020.11.05;2020;11;2020-2021;7;5.45583333333333;1.54416666666667;FALSE;Exact;27.4666599492232
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;04/12/2020;2020.12.04;2020;12;2020-2021;6.83333333333333;5.4275;1.40583333333333;FALSE;Exact;28.1933265996476
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;03/01/2021;2021.01.03;2021;1;2020-2021;NA;NA;NA;TRUE;;28.1999932661653
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;03/03/2021;2021.03.03;2021;3;2020-2021;7.35;6.12305555555556;1.22694444444444;FALSE;Exact;29.3399932406843
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;02/04/2021;2021.04.02;2021;4;2020-2021;7.41666666666667;6.21777777777778;1.19888888888889;FALSE;Exact;29.2133265768488
French Polynesia;Bora Bora;Matira;Lagoon;2;-16.5365;-151.7409;05/11/2020;2020.11.05;2020;11;2020-2021;7.58333333333333;5.45666666666667;2.12666666666667;FALSE;Exact;27.4599932827056
French Polynesia;Bora Bora;Matira;Lagoon;2;-16.5365;-151.7409;04/12/2020;2020.12.04;2020;12;2020-2021;6.83333333333333;5.42805555555556;1.40527777777778;FALSE;Exact;28.1799932666123
French Polynesia;Bora Bora;Matira;Lagoon;2;-16.5365;-151.7409;03/01/2021;2021.01.03;2021;1;2020-2021;NA;NA;NA;TRUE;;28.1999932661653
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;04/12/2020;2020.12.04;2020;12;2020-2021;6.75;5.42833333333333;1.32166666666667;FALSE;Exact;28.1799932666123
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;02/04/2021;2021.04.02;2021;4;2020-2021;7.53333333333333;6.21833333333333;1.315;FALSE;Exact;29.229993243143
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;04/12/2020;2020.12.04;2020;12;2020-2021;NA;5.43055555555556;NA;TRUE;;28.1799932666123
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;03/03/2021;2021.03.03;2021;3;2020-2021;NA;6.12305555555556;NA;TRUE;;29.3699932400137
French Polynesia;Bora Bora;Pointe Taihi;Lagoon;2;-16.465298;-151.743954;05/11/2020;2020.11.05;2020;11;2020-2021;7.5;5.45833333333333;2.04166666666667;FALSE;Exact;27.4699932824821
French Polynesia;Bora Bora;Pointe Taihi;Lagoon;2;-16.465298;-151.743954;04/12/2020;2020.12.04;2020;12;2020-2021;7;5.43055555555556;1.56944444444444;FALSE;Exact;28.1799932666123
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;05/11/2020;2020.11.05;2020;11;2020-2021;7.3;5.49194444444444;1.80805555555556;FALSE;Exact;27.6799932777882
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;04/12/2020;2020.12.04;2020;12;2020-2021;6.98333333333333;5.46416666666667;1.51916666666667;FALSE;Exact;28.2899932641536
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;03/01/2021;2021.01.03;2021;1;2020-2021;7.1;5.69027777777778;1.40972222222222;FALSE;Exact;28.2299932654947
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;02/02/2021;2021.02.02;2021;2;2020-2021;7.5;5.98416666666667;1.51583333333333;FALSE;Exact;28.3699932623655
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;03/03/2021;2021.03.03;2021;3;2020-2021;7.53333333333333;6.15861111111111;1.37472222222222;FALSE;Exact;29.479993237555
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;02/04/2021;2021.04.02;2021;4;2020-2021;7.58333333333333;6.25222222222222;1.33111111111111;FALSE;Exact;29.1599932447076
French Polynesia;Apataki;Apataki 1;Lagoon;5;-15.5678;-146.41099;21/04/2022;2022.04.21;2022;4;2021-2022;7.46666666666667;5.9;1.56666666666667;FALSE;Exact;28.2499932650477
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;25/10/2021;2021.10.25;2021;10;2021-2022;7.46666666666667;5.53333333333333;1.93333333333333;FALSE;Exact;27.0699932914227
French Polynesia;Bora Bora;Pointe raititi;Lagoon;2;-16.53283;-151.747537;25/10/2021;2021.10.25;2021;10;2021-2022;7.25;5.53333333333333;1.71666666666667;FALSE;Exact;27.0699932914227
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;23/11/2021;2021.11.23;2021;11;2021-2022;7;5.4;1.6;FALSE;Exact;27.9599932715297
French Polynesia;Bora Bora;Pointe taihi;Lagoon;2;-16.465298;-151.743954;23/11/2021;2021.11.23;2021;11;2021-2022;6.83333333333333;5.4;1.43333333333333;FALSE;Exact;27.9499932717532
French Polynesia;Bora Bora;Bora 2;Channel;15;-16.49107;-151.71033;23/11/2021;2021.11.23;2021;11;2021-2022;8.83333333333333;5.4;3.43333333333333;FALSE;Approximative;27.9499932717532
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;23/11/2021;2021.11.23;2021;11;2021-2022;6.8;5.4;1.4;FALSE;Exact;27.9599932715297
French Polynesia;Bora Bora;Bora 1;Lagoon;5;-16.52854;-151.74528;23/11/2021;2021.11.23;2021;11;2021-2022;6.78333333333333;5.4;1.38333333333333;FALSE;Exact;27.9599932715297
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;23/12/2021;2021.12.23;2021;12;2021-2022;7.03333333333333;5.53333333333333;1.5;FALSE;Exact;28.4999932594598
French Polynesia;Bora Bora;Bora 2;Channel;15;-16.49107;-151.71033;23/12/2021;2021.12.23;2021;12;2021-2022;9;5.53333333333333;3.46666666666667;FALSE;Approximative;28.5099932592362
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;23/12/2021;2021.12.23;2021;12;2021-2022;6.83333333333333;5.53333333333333;1.3;FALSE;Exact;28.4999932594598
French Polynesia;Bora Bora;Bora 3;Lagoon;5;-16.49045;-151.7112;23/12/2021;2021.12.23;2021;12;2021-2022;6.91666666666667;5.53333333333333;1.38333333333333;FALSE;;28.5099932592362
French Polynesia;Bora Bora;Bora 2;Channel;15;-16.49107;-151.71033;23/12/2021;2021.12.23;2021;12;2021-2022;8;5.53333333333333;2.46666666666667;FALSE;Approximative;28.5099932592362
French Polynesia;Bora Bora;Bora 3;Lagoon;5;-16.49045;-151.7112;23/12/2021;2021.12.23;2021;12;2021-2022;6.93333333333333;5.53333333333333;1.4;FALSE;Exact;28.5099932592362
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;22/01/2022;2022.01.22;2022;1;2021-2022;NA;5.83333333333333;NA;TRUE;;27.9499932717532
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;22/01/2022;2022.01.22;2022;1;2021-2022;8.16666666666667;5.83333333333333;2.33333333333333;FALSE;Approximative;27.9499932717532
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;21/02/2022;2022.02.21;2022;2;2021-2022;NA;6.06666666666667;NA;TRUE;;28.0399932697416
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;21/02/2022;2022.02.21;2022;2;2021-2022;7.18333333333333;6.06666666666667;1.11666666666667;FALSE;Approximative;28.0399932697416
French Polynesia;Bora Bora;Bora 1;Lagoon;5;-16.52854;-151.74528;21/02/2022;2022.02.21;2022;2;2021-2022;NA;6.06666666666667;NA;TRUE;;28.0399932697416
French Polynesia;Bora Bora;Bora 2;Channel;15;-16.49107;-151.71033;22/03/2022;2022.03.22;2022;3;2021-2022;NA;6.18333333333333;NA;TRUE;;28.6399932563305
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;22/03/2022;2022.03.22;2022;3;2021-2022;7.66666666666667;6.18333333333333;1.48333333333333;FALSE;Approximative;28.649993256107
French Polynesia;Fakarava;Tetamanu;Lagoon;2;-16.51433;-145.46201;21/02/2022;2022.02.21;2022;2;2021-2022;NA;5.66666666666667;NA;TRUE;;27.8099932748825
French Polynesia;Huahine;Avea;Lagoon;2;-16.81256;-150.98961;23/12/2021;2021.12.23;2021;12;2021-2022;7.18333333333333;5.48333333333333;1.7;FALSE;Exact;28.3299932632596
French Polynesia;Huahine;Motu vaiorea;Lagoon;2;-16.77866;-151.03162;23/12/2021;2021.12.23;2021;12;2021-2022;7.16666666666667;5.48333333333333;1.68333333333333;FALSE;Exact;28.379993262142
French Polynesia;Huahine;Baie maroe;Lagoon;2;-16.74913;-150.99065;21/02/2022;2022.02.21;2022;2;2021-2022;NA;6.01666666666667;NA;TRUE;;28.089993268624
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;25/10/2021;2021.10.25;2021;10;2021-2022;NA;5.56666666666667;NA;TRUE;;27.1599932894111
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;23/11/2021;2021.11.23;2021;11;2021-2022;6.9;5.43333333333333;1.46666666666667;FALSE;Exact;27.9099932726473
French Polynesia;Maupiti;Motu paeao;Lagoon;2;-16.42228;-152.26228;23/12/2021;2021.12.23;2021;12;2021-2022;7;5.58333333333333;1.41666666666667;FALSE;Exact;28.4999932594598
French Polynesia;Maupiti;Motu paeao;Lagoon;2;-16.42228;-152.26228;22/01/2022;2022.01.22;2022;1;2021-2022;7.35;5.86666666666667;1.48333333333333;FALSE;Exact;27.9999932706356
French Polynesia;Maupiti;Motu paeao;Lagoon;2;-16.42228;-152.26228;21/02/2022;2022.02.21;2022;2;2021-2022;7.9;6.1;1.8;FALSE;Approximative;28.0299932699651
French Polynesia;Maupiti;Plage tereia;Lagoon;5;-16.44805;-152.27527;22/03/2022;2022.03.22;2022;3;2021-2022;NA;6.21666666666667;NA;TRUE;;28.5399932585657
French Polynesia;Moorea;Maharepa 2;Lagoon;2;-17.479639;-149.796028;25/10/2021;2021.10.25;2021;10;2021-2022;7.33333333333333;5.38333333333333;1.95;FALSE;Exact;26.8999932952225
French Polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;25/10/2021;2021.10.25;2021;10;2021-2022;NA;5.38333333333333;NA;TRUE;;26.929993294552
French Polynesia;Moorea;Tiki village 2;Lagoon;2;-17.52941;-149.91064;25/10/2021;2021.10.25;2021;10;2021-2022;7.38333333333333;5.38333333333333;2;FALSE;Exact;26.929993294552
French Polynesia;Moorea;Maatea;Lagoon;2;-17.58294;-149.7984;25/10/2021;2021.10.25;2021;10;2021-2022;NA;5.38333333333333;NA;TRUE;;26.949993294105
French Polynesia;Moorea;Haapiti 2;Lagoon;2;-17.51619;-149.9135;23/11/2021;2021.11.23;2021;11;2021-2022;7.03333333333333;5.23333333333333;1.8;FALSE;Exact;27.3599932849407
French Polynesia;Moorea;Atiha;Lagoon;2;-17.59262;-149.83989;23/11/2021;2021.11.23;2021;11;2021-2022;7.33333333333333;5.23333333333333;2.1;FALSE;Approximative;27.4099932838232
French Polynesia;Moorea;Teavaro;Lagoon;2;-17.5095;-149.76783;23/11/2021;2021.11.23;2021;11;2021-2022;6.83333333333333;5.23333333333333;1.6;FALSE;Exact;27.5599932804704
French Polynesia;Moorea;Opunohu 1;Outer slope;30;-17.48369;-149.85802;23/11/2021;2021.11.23;2021;11;2021-2022;NA;5.23333333333333;NA;TRUE;;27.4699932824821
French Polynesia;Moorea;Maatea;Lagoon;2;-17.58294;-149.7984;23/11/2021;2021.11.23;2021;11;2021-2022;7.1;5.23333333333333;1.86666666666667;FALSE;Approximative;27.4299932833761
French Polynesia;Moorea;Temae;Lagoon;2;-17.4982;-149.75599;23/12/2021;2021.12.23;2021;12;2021-2022;7.16666666666667;5.38333333333333;1.78333333333333;FALSE;Exact;28.2299932654947
French Polynesia;Moorea;Temae;Lagoon;2;-17.4982;-149.75599;23/12/2021;2021.12.23;2021;12;2021-2022;7.13333333333333;5.38333333333333;1.75;FALSE;Exact;28.2299932654947
French Polynesia;Moorea;Baie cook 1;Lagoon;2;-17.48544;-149.83416;23/12/2021;2021.12.23;2021;12;2021-2022;NA;5.38333333333333;NA;TRUE;;28.2699932646007
French Polynesia;Moorea;Opunohu 1;Outer slope;30;-17.48369;-149.85802;23/12/2021;2021.12.23;2021;12;2021-2022;10.1666666666667;5.38333333333333;4.78333333333333;FALSE;Exact;28.2799932643771
French Polynesia;Moorea;Linareva;Lagoon;2;-17.54952;-149.88688;23/12/2021;2021.12.23;2021;12;2021-2022;6.9;5.38333333333333;1.51666666666667;FALSE;Exact;28.3199932634831
French Polynesia;Moorea;Opunohu 1;Outer slope;30;-17.48369;-149.85802;23/12/2021;2021.12.23;2021;12;2021-2022;10.1333333333333;5.38333333333333;4.75;FALSE;Exact;28.2799932643771
French Polynesia;Moorea;Maharepa 5;Lagoon;2;-17.47989;-149.80292;23/12/2021;2021.12.23;2021;12;2021-2022;7;5.38333333333333;1.61666666666667;FALSE;Exact;28.2699932646007
French Polynesia;Moorea;Maatea;Lagoon;2;-17.58294;-149.7984;23/12/2021;2021.12.23;2021;12;2021-2022;7.03333333333333;5.38333333333333;1.65;FALSE;Exact;28.3699932623655
French Polynesia;Moorea;Temae 2;Lagoon;2;-17.49921;-149.75767;22/01/2022;2022.01.22;2022;1;2021-2022;7.46666666666667;5.68333333333333;1.78333333333333;FALSE;Approximative;28.4299932610244
French Polynesia;Moorea;Linareva;Lagoon;2;-17.54952;-149.88688;22/01/2022;2022.01.22;2022;1;2021-2022;7.08333333333333;5.68333333333333;1.4;FALSE;Approximative;28.3999932616949
French Polynesia;Moorea;Opunohu 1;Outer slope;30;-17.48369;-149.85802;22/01/2022;2022.01.22;2022;1;2021-2022;NA;5.68333333333333;NA;TRUE;;28.3699932623655
French Polynesia;Moorea;Tiahura;Lagoon;2;-17.48959;-149.9051;22/01/2022;2022.01.22;2022;1;2021-2022;NA;5.68333333333333;NA;TRUE;;28.3299932632596
French Polynesia;Moorea;Atiha 2;Lagoon;2;-17.58276;-149.85377;21/02/2022;2022.02.21;2022;2;2021-2022;7.63333333333333;5.93333333333333;1.7;FALSE;Exact;28.2399932652712
French Polynesia;Moorea;Tiahura motu;Lagoon;2;-17.48916;-149.91434;21/02/2022;2022.02.21;2022;2;2021-2022;NA;5.93333333333333;NA;TRUE;;28.1899932663888
French Polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;21/02/2022;2022.02.21;2022;2;2021-2022;NA;5.93333333333333;NA;TRUE;;28.2099932659418
French Polynesia;Moorea;Tiki village 2;Lagoon;2;-17.52941;-149.91064;21/02/2022;2022.02.21;2022;2;2021-2022;8.05;5.93333333333333;2.11666666666667;FALSE;Exact;28.2099932659418
French Polynesia;Raiatea;Apooiti;Lagoon;5;-16.72594;-151.49312;23/11/2021;2021.11.23;2021;11;2021-2022;6.98333333333333;5.36666666666667;1.61666666666667;FALSE;Exact;27.799993275106
French Polynesia;Raiatea;Apooiti;Lagoon;5;-16.72594;-151.49312;23/12/2021;2021.12.23;2021;12;2021-2022;7.06666666666667;5.5;1.56666666666667;FALSE;Exact;28.5399932585657
French Polynesia;Raiatea;Apooiti outside;Outer slope;30;-16.7241;-151.50172;22/01/2022;2022.01.22;2022;1;2021-2022;9.91666666666667;5.8;4.11666666666667;FALSE;Approximative;27.9599932715297
French Polynesia;Rangiroa;Aquarium;Lagoon;5;-14.97658;-147.63403;25/10/2021;2021.10.25;2021;10;2021-2022;7.18333333333333;5.28333333333333;1.9;FALSE;Exact;27.6199932791293
French Polynesia;Rangiroa;Aquarium;Lagoon;5;-14.97658;-147.63403;23/11/2021;2021.11.23;2021;11;2021-2022;6.9;5.16666666666667;1.73333333333333;FALSE;Exact;28.3999932616949
French Polynesia;Rangiroa;Aquarium;Lagoon;5;-14.97658;-147.63403;23/12/2021;2021.12.23;2021;12;2021-2022;6.88333333333333;5.31666666666667;1.56666666666667;FALSE;Exact;28.4599932603538
French Polynesia;Rangiroa;Aquarium;Lagoon;5;-14.97658;-147.63403;23/12/2021;2021.12.23;2021;12;2021-2022;6.93333333333333;5.31666666666667;1.61666666666667;FALSE;Exact;28.4599932603538
French Polynesia;Rangiroa;Aquarium;Lagoon;5;-14.97658;-147.63403;23/12/2021;2021.12.23;2021;12;2021-2022;6.93333333333333;5.31666666666667;1.61666666666667;FALSE;Exact;28.4599932603538
French Polynesia;Rangiroa;Six passenger;Inner slope;10;-14.96202;-147.64645;21/02/2022;2022.02.21;2022;2;2021-2022;NA;5.81666666666667;NA;TRUE;;28.1799932666123
French Polynesia;Rangiroa;Aquarium;Lagoon;5;-14.97658;-147.63403;21/02/2022;2022.02.21;2022;2;2021-2022;NA;5.81666666666667;NA;TRUE;;28.1799932666123
French Polynesia;Tahaa;Motu atger;Lagoon;2;-16.65258;-151.42692;23/12/2021;2021.12.23;2021;12;2021-2022;7.2;5.51666666666667;1.68333333333333;FALSE;Approximative;28.5499932583422
French Polynesia;Tahiti;Punaauia PK 18;Lagoon;2;-17.661567;-149.597767;25/10/2021;2021.10.25;2021;10;2021-2022;NA;5.36666666666667;NA;TRUE;;27.0599932916463
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;25/10/2021;2021.10.25;2021;10;2021-2022;NA;5.36666666666667;NA;TRUE;;26.8499932963401
French Polynesia;Tahiti;Pointe Venus;Lagoon;2;-17.494471;-149.492953;25/10/2021;2021.10.25;2021;10;2021-2022;7.4;5.36666666666667;2.03333333333333;FALSE;Approximative;26.9899932932109
